trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.015, 'e': 0.3447278547672202}",30,11,-74.00147594762868,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
72,False,"{'a': 0.015, 'e': 0.3395955256449391}",25,14,-40.08673448588482,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.015, 'e': 0.3345396069486076}",25,0,-142.5476524583138,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
74,False,"{'a': 0.015, 'e': 0.3295589610751891}",20,5,8.967500604403025,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.015, 'e': 0.32465246735834974}",25,10,-37.3166569724948,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.015, 'e': 0.31981902181630395}",20,0,9.528575744514184,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.015, 'e': 0.3150575369034133}",20,2,-57.71519590808043,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.015, 'e': 0.31036694126548503}",20,13,8.5974192888927,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.015, 'e': 0.30574617949871175}",20,9,21.855379049006494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.015, 'e': 0.30119421191220214}",20,6,9.584277405234518,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.015, 'e': 0.2967100142940453}",25,11,20.201484083891756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.015, 'e': 0.2922925776808594}",20,9,7.605115975692151,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.015, 'e': 0.2879409081307703}",20,10,8.79595140432838,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.015, 'e': 0.2836540264997704}",30,18,-3.5226872398225106,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.015, 'e': 0.27943096822140734}",25,8,4.336724142792214,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.015, 'e': 0.27527078308975234}",25,0,21.350474584775434,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.015, 'e': 0.2711725350455999}",20,10,-31.428072485138852,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.015, 'e': 0.2671353019658504}",20,3,-15.224578923145604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.015, 'e': 0.2631581754560287}",30,0,-72.1754487531682,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
90,False,"{'a': 0.015, 'e': 0.25924026064589156}",25,12,-42.66319370054078,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.015, 'e': 0.2553806759880777}",25,18,16.26194512426958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.015, 'e': 0.2515785530597565}",20,14,1.5481034719525142,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.015, 'e': 0.24783303636722875}",25,12,-8.162039253228947,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.015, 'e': 0.2441432831534371}",25,0,3.0307871333224825,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.015, 'e': 0.24050846320834213}",25,0,-86.26650843455448,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.015, 'e': 0.23692775868212176}",20,0,7.052157512804202,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
97,False,"{'a': 0.015, 'e': 0.23340036390115138}",25,11,24.335013230965465,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.015, 'e': 0.22992548518672384}",20,4,12.616447910115507,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.015, 'e': 0.2265023406764688}",20,10,7.723237168062733,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.015, 'e': 0.22313016014842982}",20,3,25.073951969401403,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.015, 'e': 0.21980818484776174}",20,4,8.317258446415254,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.015, 'e': 0.21653566731600707}",25,0,25.75355766623817,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.015, 'e': 0.21331187122291523}",20,0,-3.993741431711833,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.015, 'e': 0.21013607120076472}",30,8,-12.04180296266089,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.015, 'e': 0.20700755268115265}",30,0,16.597193085075187,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.015, 'e': 0.20392561173421347}",25,8,18.187470115234408,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.015, 'e': 0.20088955491023208}",20,13,4.577126082363575,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.015, 'e': 0.1978986990836147}",20,4,23.343947453258924,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.015, 'e': 0.1949523712991825}",25,12,4.500848937580542,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.015, 'e': 0.19204990862075413}",30,16,-0.9369154670090749,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.015, 'e': 0.18919065798198204}",30,0,-10.691612887766931,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.015, 'e': 0.18637397603940997}",25,8,17.349530745316557,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
